1,ザ・レモンクラフト　極上レモン,アサヒ,52,7,19.6,1,false,false,https://lsdb-images.s3.ap-northeast-1.amazonaws.com/uploads/lemon_sour/production/asahi/asahi_craft_gokujo.jpg
2,ザ・レモンクラフト　グリーンレモン,アサヒ,45,7,19.6,1,false,false,https://lsdb-images.s3.ap-northeast-1.amazonaws.com/uploads/lemon_sour/production/asahi/asahi_craft_green.jpg
3,ザ・レモンクラフト　地中海レモン,アサヒ,36,5,14,2,false,false,https://lsdb-images.s3.ap-northeast-1.amazonaws.com/uploads/lemon_sour/production/asahi/asahi_craft_tityukai.jpg
4,クリアクーラー　シチリア産レモン,アサヒ,54,6,16.8,3,false,false,https://lsdb-images.s3.ap-northeast-1.amazonaws.com/uploads/lemon_sour/production/asahi/asahi_crearcooler.jpg
5,チューハイハイリキレモン,アサヒ,51,7,19.6,4.3,false,false,https://lsdb-images.s3.ap-northeast-1.amazonaws.com/uploads/lemon_sour/production/asahi/asahi_hiriki.jpg
6,もぎたてSTRONG　まるごと搾りレモン ,アサヒ,65,9,25.2,3,false,true,https://lsdb-images.s3.ap-northeast-1.amazonaws.com/uploads/lemon_sour/production/asahi/asahi_mogitate.jpg
7,Slat　レモンスカッシュサワー ,アサヒ,20,3,8.4,,true,false,https://lsdb-images.s3.ap-northeast-1.amazonaws.com/uploads/lemon_sour/production/asahi/asahi_slat.jpg
8,樽ハイ倶楽部,アサヒ,60,8,22.4,1,false,false,https://lsdb-images.s3.ap-northeast-1.amazonaws.com/uploads/lemon_sour/production/asahi/asahi_taruhai.jpg
9,贅沢絞りレモン,アサヒ,39,4,11.2,14,false,true,https://lsdb-images.s3.ap-northeast-1.amazonaws.com/uploads/lemon_sour/production/asahi/asahi_zeitaku.jpg
10,発酵レモンサワー,キリン,51,7,19.6,10,false,true,https://lsdb-images.s3.ap-northeast-1.amazonaws.com/uploads/lemon_sour/production/kirin/kirin_hakko.jpg
11,本絞り レモンすっきり絞り,キリン,38,6,16.8,10,true,true,https://lsdb-images.s3.ap-northeast-1.amazonaws.com/uploads/lemon_sour/production/kirin/kirin_honsibori_sukkirisibori.jpg
12,本搾り レモン,キリン,38,6,16.8,12,true,true,https://lsdb-images.s3.ap-northeast-1.amazonaws.com/uploads/lemon_sour/production/kirin/kirin_honsibori.jpg
13,氷結　無糖レモンAlc.4%,キリン,26,4,11.2,2.7,true,true,https://lsdb-images.s3.ap-northeast-1.amazonaws.com/uploads/lemon_sour/production/kirin/kirin_hyoketu_4.jpg
14,氷結　無糖レモンAlc.7%,キリン,43,7,19.6,3.4,true,true,https://lsdb-images.s3.ap-northeast-1.amazonaws.com/uploads/lemon_sour/production/kirin/kirin_hyoketu_7.jpg
15,氷結　サワーレモン,キリン,33,4,11.2,4,false,false,https://lsdb-images.s3.ap-northeast-1.amazonaws.com/uploads/lemon_sour/production/kirin/kirin_hyoketu_sour.jpg
16,氷結ストロング　サワーレモン,キリン,43,7,19.6,1,true,false,https://lsdb-images.s3.ap-northeast-1.amazonaws.com/uploads/lemon_sour/production/kirin/kirin_hyoketu_strong_sour.jpg
17,氷結ストロング　シチリア産レモン,キリン,54,9,25.2,2.6,true,false,https://lsdb-images.s3.ap-northeast-1.amazonaws.com/uploads/lemon_sour/production/kirin/kirin_hyoketu_strong.jpg
18,氷結ZERO　シチリア産レモン,キリン,32,5,14,4.2,true,false,https://lsdb-images.s3.ap-northeast-1.amazonaws.com/uploads/lemon_sour/production/kirin/kirin_hyoketu_zero.jpg
19,氷結　シチリア産レモン,キリン,45,5,14,2.7,false,false,https://lsdb-images.s3.ap-northeast-1.amazonaws.com/uploads/lemon_sour/production/kirin/kirin_hyoketu.jpg
